Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
23,2,85.2907,86.9345,1643.83,41,56.5,40.54,164.83,67.7,89.65,18.5,95.33
24,2,90.1553,91.1251,969.75,50,52.3,19.59,160.47,56.88,85.89,22.6,105.42
25,2,91.7396,92.6313,891.7,10,45.2,99.05,161.09,48.72,83.53,28.69,86.96
26,2,108.1346,109.5319,1397.34,18,46.3,82.18,158.65,52.27,99.16,19.85,89.83
27,2,132.2089,133.2005,991.65,8,33.9,141.63,146.74,59.46,49.46,20.43,58.68
28,2,133.7799,135.2514,1471.54,18,46.3,85.42,157.9,45.18,95.94,18.79,108.74
29,2,138.0521,140.2325,2180.38,26,45,84.8,156.87,51.27,90.72,15.93,92.67
30,2,142.5696,144.4296,1860.01,63,44.5,29.8,156.25,74.52,82.44,12.86,62.57
31,2,571.4258,575.8071,4381.33,31,49.7,146.04,157.64,31.39,105.99,41.45,97.76
32,2,613.5984,616.2327,2634.33,17,49.3,164.63,163.32,39.11,106.15,30.64,88.54
33,2,618.2325,620.097,1864.47,13,44.3,155.36,155.01,48.06,88.23,20.33,44
34,2,627.8417,629.7442,1902.55,14,51.6,146.33,162.05,39.06,112.62,27.24,67.38
35,2,659.2632,662.1007,2837.45,18,45.4,157.98,167.4,37.33,96.19,27.06,53.12
36,2,663.8926,667.0019,3109.23,25,54.1,129.54,173.15,35,110.72,24.25,69.23
37,2,669.7358,670.3808,644.96,5,33,161.19,157.77,37.23,107.31,38.66,85.55
38,2,677.7514,678.1308,379.38,4,34.3,126.39,155.26,36.03,96.94,26.49,105.25
39,2,737.0169,737.9046,887.72,9,38.1,105.56,161.04,46.72,88.74,24.74,91.24
40,2,776.4901,779.0764,2586.31,46,51.2,57.47,168.45,53.25,98.72,22.4,67.62
41,2,779.7219,782.2271,2505.2,40,52.5,64.23,167.55,48.35,102.5,21.39,69.67
